Entity,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Italy,37.46756872,26.27396812,109.0666238,347.4184625,8.149997568,1.043498858,232.4611182,1.276688279,471.7722297,7436.231258,26208.16071,5107.373914,12053.07594,12043.47959,2258.162825,17595.90436,104404.6921,52721.00678,63364.94146,119779.6658,84848.16327,3.261208183,6.804550858,4576.629908,29368.17834,29742.42,21296.25052,31261.16839,17271.26902
Jamaica,23.53363003,13.36471459,47.24814763,269.7936268,4.178423985,0.311654373,67.11077207,1.166980101,303.4673964,312.8970679,836.9173964,92.09450992,662.1902307,516.9644317,559.8113339,544.1551023,5284.418635,1164.464779,3060.803121,3877.457604,2157.549729,6.829066648,1.389020938,41.03073795,1231.624543,971.24,388.0685602,1379.403291,735.904129
Japan,470.6524032,103.8518847,1368.37199,117.401495,16.93321688,1.978955415,957.449274,9.567041981,311.2855203,17858.08241,12904.17872,8556.643593,41840.31182,15455.97972,4400.129611,32059.7228,114239.6945,72803.48582,57112.69964,197006.2977,200015.9569,9.611730597,5.289311899,6850.317717,49553.62073,50406.93,82182.41178,42023.85341,30752.16308
Jordan,25.46790027,6.528737219,40.20458008,0.951193839,50.40980063,1.675785269,163.5848367,22.18915219,1538.630899,720.1625597,100.4415624,245.5057548,1274.050315,564.661906,62.89620254,683.8356619,5201.359246,2731.819786,5265.708715,6107.130028,3337.478597,12.81771024,31.53380345,69.65783016,1949.086018,1970.75,725.2226919,2027.851066,1197.440559
Kazakhstan,39.48368285,38.96155659,78.01150806,2001.41355,72.14531342,2.105590609,349.2408219,44.33988228,1391.346631,3541.8669,15036.91214,2644.532039,10208.06584,1021.111176,776.6673335,5192.970591,20919.2336,21592.61116,22276.09773,36869.88688,20075.43204,14.29605679,45.53767861,233.6133895,7996.20378,6090.42,10125.81264,13911.22527,8466.414029
Kenya,17002.71059,12869.22775,12624.86118,14000.26977,2619.51402,130.4302507,13801.22553,2578.586369,11932.2431,1996.776462,20882.97775,3272.059467,5837.20921,4340.44139,42709.18373,1184.992156,20047.13158,3184.314063,10046.42384,24324.45868,9780.153392,879.7781244,4121.235542,1047.312145,18890.77237,4999.29,2641.667407,6384.948028,4079.656359
Kiribati,26.09366628,18.34456318,7.358396342,90.9534813,1.72025468,0.164661551,30.49310782,3.295345544,32.45654254,36.98038486,16.14292648,5.636469225,70.63632119,46.79900717,20.33031453,20.30252017,249.1567641,67.81937497,187.0159847,145.6968938,178.2485116,2.640617241,5.981783641,0.62406709,102.0714293,11.54,29.67035029,89.78154758,48.30550422
Kuwait,2.942112179,0.473154489,13.99716888,1.141859084,3.175009604,0.132135668,10.73825694,0.723877809,152.8742585,249.4836822,23.31530207,107.6826141,415.4550423,111.7481521,17.51369601,318.6665975,1204.994657,1157.762308,1658.989499,1847.038137,1074.331136,1.367990991,0.995120876,32.87930693,831.5268709,835.96,315.0863811,705.1100149,475.3705579
Kyrgyzstan,75.65249694,84.23096909,35.6754808,1225.270817,56.24407849,3.201384733,277.2159899,60.41321874,1258.289722,883.795143,3199.33249,723.7820816,2737.254403,811.1252001,285.9126072,1160.548284,5307.627978,5161.687552,3963.391123,8716.363626,3800.929919,17.95433265,40.56026553,50.13539837,2813.060414,1634.2,1934.641291,3727.634193,2417.312171
Laos,1254.914047,917.7442513,642.5306306,3807.295316,443.6176717,18.79312525,2106.905153,613.4669359,2409.088059,1416.668485,1710.09601,198.5555507,2020.430267,819.1919251,695.9110426,559.9382202,6367.72115,3193.325483,2894.364172,7897.924013,5375.053054,88.88712703,531.4445109,160.4084261,5009.83308,1255.11,2489.555373,1570.701718,1508.726074
Latin America and Caribbean,14707.54276,9128.725854,12263.75356,51351.18083,4496.800873,416.3433574,33680.91609,2843.675471,41629.91718,54727.32026,212156.8302,39730.24346,80981.86611,105264.231,64994.83573,74044.17838,489968.7462,229098.5636,433730.5927,577424.5321,328308.5771,1746.288727,3296.865117,17652.84816,194533.7116,145565.12,101781.9968,139572.8679,128844.6966
Latvia,1.677991056,0.988214206,4.498540364,177.1763735,0.698804233,0.031535592,3.337086078,0.278568552,17.56488838,552.994876,1900.997983,275.4629562,1864.561207,1117.690934,159.9038889,1381.452665,4780.210106,5438.906669,4485.935004,9300.104193,4123.168757,0.350486622,0.039017065,90.87423049,1457.924101,1285.35,1827.807106,2521.817151,1812.930758
