Țară/Regiune,Factor 1,Factor 2
North Korea,1.1049390490438125,-2.0497537009745965
North Macedonia,-0.1046272780014582,-0.13950970142288413
Northern Ireland,-0.16681681414716767,-0.16382084619588264
Northern Mariana Islands,-0.21030501719245684,-0.14733107731610598
Norway,-0.36710645606630005,-0.02906847933135728
Oceania,-2.039423154862802,0.4765464686873222
Oman,-0.245886207786515,-0.1038538330962416
Pakistan,0.17537906317760843,-0.0808544017813813
Palestine,-0.17374702656925833,-0.11471092258156254
Panama,-0.16425703376547263,-0.1694077961903459
Papua New Guinea,-1.5131545445910357,0.20818217776841705
Paraguay,-0.3493090393886538,-0.08712388601911271
Peru,-0.9435661614908719,0.25386202185749196
Philippines,-0.7894499756244362,0.17006646159394345
Poland,-1.0472704667033301,0.1129171106977359
Portugal,-1.0018149067916335,0.326496834987144
Puerto Rico,-0.6793700660790689,0.17830560649771102
Qatar,-0.2391173795842825,-0.12922057182015775
Romania,1.1322051699352333,-1.3020642044101038
Russia,-0.7619885343945035,-0.12156293847143093
Rwanda,0.11885151589797043,-0.35895897493399664
Saint Lucia,-0.2078552190228172,-0.14805415408741457
Saint Vincent and the Grenadines,-0.21267971256230053,-0.1452257978117034
Samoa,-0.2154084072097488,-0.14631169100078417
Sao Tome and Principe,-0.20183826797962715,-0.1506143369838878
Saudi Arabia,-0.9031642714769521,0.43053966105168257
Scotland,0.07296141973783506,-0.34656552158367643
Senegal,-0.8912323407824886,0.8451262688562247
Serbia,-0.8156666541954554,0.2749419859193345
Seychelles,-0.20005265761821014,-0.1509714360462951
Sierra Leone,-0.5677116999533547,0.33615321339601667
Singapore,-0.3448192539953708,-0.05463734450817152
Slovakia,-0.23271741018987568,-0.034597475912840736
Slovenia,-0.21737600681432476,-0.10840858770102241
Solomon Islands,-0.30819000725820067,-0.11162526137733837
Somalia,-0.11268153697452477,-0.5108612317190031
South Africa,1.0524683096594838,-1.7878029190563267
South Asia,1.6422609227861864,3.287954082214951
South Korea,-1.9647399003428334,0.8157186969514223
South Sudan,-0.22237081317771942,-0.9578093865182723
Southeast Asia,0.2910465601501305,0.6191750876297363
"Southeast Asia, East Asia, and Oceania",6.564120909957099,-3.777117217706746
Southern Latin America,1.5533360337083275,-0.26509815246274593
Southern Sub-Saharan Africa,1.6047095853312168,-2.2415558750599254
Spain,1.8144006238381172,-1.4559508461898722
Sri Lanka,-2.2202041957792393,1.523184769980834
Sub-Saharan Africa,-2.0547893241385626,6.237044919216226
Sudan,0.12923093715746015,-1.3010048002027779
Suriname,-0.2059243264836738,-0.14266612339871343
Sweden,-0.7537669221096533,0.24332032304047593
Switzerland,-0.5747884516923072,0.10502134889032774
Syria,0.22721618336373842,-0.1413547237896112
Taiwan,0.22772829272126546,-0.08540820423949473
Tajikistan,0.442109354478663,-0.7394649093434744
Tanzania,-0.06860423417546582,-0.32642745305393295
Thailand,-0.054455067506430865,0.1339957618724854
Timor,-0.17253838463272453,-0.21846753961909898
Togo,-0.15393965547717042,-0.022956662011931153
Tonga,-0.21903951247288342,-0.14320072502705083
Trinidad and Tobago,-0.2836585995200732,-0.04798680657986824
Tropical Latin America,2.075543671844688,-1.0422777841261939
Tunisia,0.11741639471419894,-0.15550333219362517
Turkey,4.096451852472585,-2.8060119943785593
Turkmenistan,0.12384601279890571,-0.1938446798456
Uganda,0.7969433186546118,-0.590814005252447
Ukraine,0.9964914754155095,-1.3216206522210567
United Arab Emirates,-0.17923986989665744,-0.10842060152490052
United Kingdom,0.5902147739549681,-0.6972873447002184
United States,1.6852399470694583,-1.2404796308961616
United States Virgin Islands,-0.22015584636780197,-0.14037654289966472
Uruguay,-0.2745259060577441,-0.08015456147903026
Uzbekistan,-1.2966455321750283,1.1252526223305472
Vanuatu,-0.22479330027268618,-0.13997481299343115
Venezuela,1.358746564845422,-0.6615302217609297
Vietnam,2.79293825257601,-0.27060359791101707
Wales,-0.11189185223820726,-0.21363631687515108
Western Europe,3.088970567087034,-1.715537446532337
Western Sub-Saharan Africa,-2.3023213811915664,4.520521973911412
World,9.418459049591448,7.902164928484047
Yemen,0.8121007314299441,-0.42324011278495605
Zambia,0.15147978263316206,-0.6026595839474438
Zimbabwe,0.34889788558189616,-0.6624372900894316
